,comment,score
0,스타듀밸리 재미있게 하고있습니다!! 이번에 업데이트하면서 그런건지 모르겠지만 농장 컴퓨터나 미스터 치 방에서 볼수있는 진행도 등등 창이 너무 확대되서 못읽는 부분이 있습니다. 그 외에도 게임을 키면 처음에 아이템 창이 엄청 커져있을때가있습니다. 게임 설정 들어갔다가 나오면 해결은 됩니다만 매번 그러니 불편함이 있네요. 개선 부탁드립니다!,5
1,"게임을 할 때 화면을 확대하면 화면이 깨지는 것처럼 작은 실선과 같은 모양으로 지직거리는 것처럼 보입니다. 저만 그런진 모르겠지만 한 번만 확인 부탁드립니다. 또, 업데이트 전에는 화면을 축소한 상태로 손가락을 떼지 않고 옮기면 화면이 움직여서 시야를 더 넓게 볼 수 있었는데요 업데이트 후에 이 기능이 없어져서 아쉽습니다. 또, 이번에 새로운 캐릭터를 파서 낚시를 했더니 화면을 확대하면 낚시하는 과정 중 보이는 가운데 막대에 물고기 모양이 왔다갔다 하는 바가 같이 확대되어 화면을 넘어서서 낚시를 제대로 할 수 없었습니다. 그리고 이건 정말정말 죄송한데 캐릭터 말풍선의 글씨가 작아서 잘 안 보인다고 올렸었는데요, 말풍선 자체가 커져서 아이템창 선을 넘어섰고 생각보다 글씨가 조금 많이 커져서 그런데 업데이트 전과 같은 크기로 조금만 줄여주실 수 있을까요?ㅠㅠ빠른 수정 부탁드립니다ㅠㅠ",4
2,게임을 잘 플레이하고있으나 업데이트 이후로 생긴 문제점이 있어 다음 업데이트에 참고해주시면 좋겠습니다. 다음 리스트는 이전 버전에서는 일어나지 않았던 문제들입니다. 1. 설정해둔 툴바 크기의 데이터는 저장되나 매 게임 구동 시마다 최대 크기로 보여져 번번이 다시 툴바 크기를 설정해야 함. 2. 대화창 크기가 지나치게 커 화면을 가림. 3. 박물관 진입 후 몇 보 걸으면 프레임이 끊김. 감사합니다.,5
3,"안녕하세요. 업데이트 이후 버그가 생겼습니다. 1. 주민과 대화할 때 대화창과 글씨가 큽니다. 설정에 대화창 조절 기능을 추가하거나 줄여주세요. 2. 게임을 끄려고 하면, 일지(퀘스트창)가 나옵니다. 고쳐주세요. 3. 재봉틀 버그 있어요. 그 외에 자잘하게 버그가 있습니다. 게임 너무 재밌어요. 항상 응원합니다.",5
4,"저만 그런지 모르겠습니다만 업데이트 전 까지만 해도 잘 저장되던 세이브파일이 업데이트 후 부터 생기지 않기 시작했습니다. 이를 모르는 상태에서 며칠에 걸쳐 키웠던 세이브파일이 실수로 지웠다 깔음에 의해 날라가게 되었습니다. 계속 다른 캐릭터를 파도 똑같이 세이브파일이 생성이 되질 않는데, 오류인지 뭔지 저는 그런 쪽을 잘 몰라서 답답하기만 합니다. 또 이것 외 에도 자잘한 버그가 생겼습니다. 5레벨, 10레벨 때마다 잠 자고 뜨는 직업 선택이 매번 잠을 잘 때마다 뜨고, (게임 내)만원을 내고 직업을 바꿔도 바뀌지 않았습니다. 다른 리뷰들도 보아하니 이런 버그가 걸린 분이 계셨고, 별의별 버그가 다 걸리는 저랑 비슷한 분이 정말 많으시더라고요. 1인 개발이신지라 고치기엔 상당한 시간이 소요될 것을 충분히 이해하지만, 최대한 빨리 고쳐주셨으면 하는 마음입니다.",3
5,"엑박 패드 사용하는데, 게임패드 사용 시 게임팅김이 생깁니다. 확정 팅김은 정동석 제련소에서 부술때, 폰화면을 끄고 한동안 지나서 다시 할때입니다. 아무튼 게임패드로 사용 시 커서가 화면에 제대로 출력도 안되고 건축물 짓거나 제작품들 옮기거나 할때 아에 안되거나 제대로 되지 않습니다. 게임패드에 대한 호환을 신경써주시면 정말 감사하겠습니다. 무엇보다도 사용자가 패드키를 변경을 할수있도록 개선 꼭 부탁드립니다.",4
6,여러곳에서 많이 봐 한 번 플레이 해보려고 깔아봤는데 질리지도 않고 매일매일 꾸준히 할 수 있어서 좋은 게임이네요. 쉽게 질리지 않고 열심히 할 수 있는 게임이 생겨서 너무 좋아요. 신선한 게임인 것 같고 다른 게임에서는 보지 못한 농사 시스템과 연애 시스템이 섞여있어 더 재미있게 즐길 수 있구요. 게임 기록도 많이 남길 수 있어 계속 새롭게 할 수 있는게 정말 좋네요. 다만 PC보다는 업데이트가 많이 느리다는 것이 단점이지만 단점보단 장점이 훨씬 많으니 추천해요 후회 안 하실거예요.,5
7,"정말 재밌게 하고 있었어요. 스팀에서 사서 PC버전으로 먼저 했고 기대하던 진저섬도 나와서 좋았는데, 업데이트 후 반지의 자석 기능이 안돼요. 이리듐 밴드의 문제인가 싶어 일반 자석반지를 껴도 안돼요. 자석뿐만 아니라 루비반지 기능도 적용 안되네요. 다른 오류는 다 참겠는데 자석기능 안되는게 너무 불편해요. 특히 광산 외곽의 상자 열었는데 맵 바깥으로 떨어지면 못먹어요. 그래서 신규 신발을 놓쳤어요.. 자석효과가 0이니까 제자리에서도 드랍되는걸 못먹을 정도니.. 빨리 고쳐졌으면 좋겠어요.",5
8,낚시할때 너무 어렵고(짜증나) 물건 가격들이 다 비싸고 무엇보다 터치 할때 원하는 곳이 아니라 옆자리나 뒷자리에 터치가 되는게 마음에 안듭니다. 수확이나 물뿌릴때 화면 확대와 다음 장소를 확인하거나 이동할때 축소를 반복합니다. 편하게 할려고 게임 깔았는데 스트레스,2
9,"아이템창, 글씨창이 너무 큽니다. 전의 모습대로 다시 돌려주세요. 또 시야를 옮길때 원래 가만히 있는 상태에서 화면만 움직이는 것이 가능했지만 이 기능이 사라지게 된것에 불편함을 느낍니다. 업데이트를 하는 것은 좋지만 그 전에 있던 편리함을 없애지 말아주십쇼.",4
